Unnamed: 0,prompt,response
1094,একটি বোতাম খুঁজে পাওয়া শক্ত।আপনি কি আপনার প্যান্ট কাফগুলিতে তাকান?,এটি দারুণ ভাবনা.
1095,এটি দারুণ ভাবনা.,i found a button in my pant cuffs one time.
1096,i found a button in my pant cuffs one time.,"আমাকে দেখতে দাও.না, এটা নেই।"
1097,"আমাকে দেখতে দাও.না, এটা নেই।",অনেক শার্ট একটি অতিরিক্ত বোতাম সঙ্গে আসে।
1098,অনেক শার্ট একটি অতিরিক্ত বোতাম সঙ্গে আসে।,তুমি ঠিক বলছো.
1099,তুমি ঠিক বলছো.এই এক একটি অতিরিক্ত বোতাম আছে।,now all you have to do is sew it on.
1100,আমাকে বাথরুম যেতে হবে.,আপনি খুব বেশি কফি পান করুন।
1101,আপনি খুব বেশি কফি পান করুন।,তবে আমি কফি পছন্দ করি।
1102,তবে আমি কফি পছন্দ করি।,"ঠিক আছে, এটি আপনার জীবন।"
1103,"ঠিক আছে, এটি আপনার জীবন।",আপনি খুব বেশি চকোলেট খান।
1104,আপনি খুব বেশি চকোলেট খান।,আমি তাই মনে করি না.
1105,আমি তাই মনে করি না.,আপনি কি আয়নায় তাকান?
1106,আপনি কি আয়নায় তাকান?,আপনি কি মনে করেন আমি মোটা হয়ে যাচ্ছি?
1107,আপনি কি মনে করেন আমি মোটা হয়ে যাচ্ছি?,আমি এটা বলিনি।
1108,আমি এটা বলিনি।,আপনি কি বললেন?
1109,আপনি কি বললেন?,আমি বললাম আমাকে বাথরুমে যেতে হবে।
1110,আমি বললাম আমাকে বাথরুমে যেতে হবে।,এটাই আমি ভেবেছিলাম আপনি বলেছিলেন।
1111,did you do the laundry?,"হ্যা, আমি করেছিলাম."
1112,"হ্যা, আমি করেছিলাম.",তুমি কি ধুয়ে গেল?
1113,তুমি কি ধুয়ে গেল?,আমি চাদর এবং তোয়ালে ধুয়ে ফেললাম।
1114,আমি চাদর এবং তোয়ালে ধুয়ে ফেললাম।,বালিশ সম্পর্কে কি?
1115,বালিশ সম্পর্কে কি?,"হ্যাঁ, আমি সেগুলি বালিশ থেকে সরিয়ে তাদের ধুয়ে ফেললাম।"
1116,"হ্যাঁ, আমি সেগুলি বালিশ থেকে সরিয়ে তাদের ধুয়ে ফেললাম।",আপনি কি ড্রায়ারে সবকিছু শুকিয়েছেন?
1117,আপনি কি ড্রায়ারে সবকিছু শুকিয়েছেন?,"হ্যাঁ, আমি ড্রায়ারে সবকিছু শুকিয়েছি।"
1118,"হ্যাঁ, আমি ড্রায়ারে সবকিছু শুকিয়েছি।",তাহলে তুমি কি করেছ?
